"account","userName","eventSource","eventName","calls"
"651295191577","terraform-20251111063951773200000003","dynamodb.amazonaws.com","DescribeStream","10488"
"693590665244","terraform-20251111060049796700000002","dynamodb.amazonaws.com","DescribeStream","10458"
"045107234435","terraform-20250412151641556400000001","kms.amazonaws.com","Decrypt","301"
"693590665244","cdk-hnb659fds-deploy-role-693590665244-us-east-1","cloudformation.amazonaws.com","DescribeStackEvents","187"
"693590665244","terraform-20251111060049796700000003","logs.amazonaws.com","CreateLogStream","172"
"045107234435","terraform-20250412151641556400000001","ssm.amazonaws.com","GetParameter","172"
"651295191577","terraform-20251111063951537800000002","logs.amazonaws.com","CreateLogStream","172"
"693590665244","terraform-20251111060049796700000003","kms.amazonaws.com","Decrypt","172"
"651295191577","terraform-20251111063951537800000002","kms.amazonaws.com","Decrypt","172"
"362055466028","AWSServiceRoleForResourceExplorer","cloudcontrolapi.amazonaws.com","ListResources","162"
"693590665244","AWSReservedSSO_AdministratorAccess_fcf6a3206be2735b","cloudformation.amazonaws.com","DescribeStackEvents","150"
"693590665244","AWSServiceRoleForResourceExplorer","cloudcontrolapi.amazonaws.com","GetResource","138"
"693590665244","cdk-hnb659fds-deploy-role-693590665244-us-east-2","cloudformation.amazonaws.com","DescribeStackEvents","123"
"045107234435","cdk-hnb659fds-deploy-role-045107234435-us-east-1","cloudformation.amazonaws.com","DescribeStackEvents","118"
"693590665244","AWSReservedSSO_AdministratorAccess_fcf6a3206be2735b","cloudformation.amazonaws.com","ListStacks","114"
"693590665244","cdk-hnb659fds-deploy-role-693590665244-us-east-1","cloudformation.amazonaws.com","DescribeStacks","113"
"693590665244","AWSServiceRoleForResourceExplorer","iam.amazonaws.com","GetRole","109"
"693590665244","AWSServiceRoleForResourceExplorer","iam.amazonaws.com","ListAttachedRolePolicies","103"
"693590665244","AWSServiceRoleForResourceExplorer","iam.amazonaws.com","ListRolePolicies","103"
"045107234435","cdk-hnb659fds-deploy-role-045107234435-us-east-2","cloudformation.amazonaws.com","DescribeStackEvents","89"
"693590665244","GitHubActionsDeploymentRole-us-east-2-693590665244","sts.amazonaws.com","AssumeRole","80"
"693590665244","AWSReservedSSO_AdministratorAccess_fcf6a3206be2735b","cloudformation.amazonaws.com","DescribeStacks","72"
"693590665244","cdk-hnb659fds-deploy-role-693590665244-us-east-2","cloudformation.amazonaws.com","DescribeStacks","70"
"045107234435","cdk-hnb659fds-deploy-role-045107234435-us-east-1","cloudformation.amazonaws.com","DescribeStacks","64"
"151676528673","AWSServiceRoleForResourceExplorer","cloudcontrolapi.amazonaws.com","GetResource","62"
"693590665244","AWSReservedSSO_AdministratorAccess_fcf6a3206be2735b","cloudtrail.amazonaws.com","LookupEvents","60"
"151676528673","AWSServiceRoleForResourceExplorer","iam.amazonaws.com","ListRolePolicies","59"
"151676528673","AWSServiceRoleForResourceExplorer","iam.amazonaws.com","GetRole","59"
"151676528673","AWSServiceRoleForResourceExplorer","iam.amazonaws.com","ListAttachedRolePolicies","59"
"693590665244","AWSServiceRoleForAmazonSSM","resource-groups.amazonaws.com","ListGroups","58"
"045107234435","youtube_video_generator-role","kms.amazonaws.com","Decrypt","56"
"045107234435","cdk-hnb659fds-deploy-role-045107234435-us-east-2","cloudformation.amazonaws.com","DescribeStacks","44"
"693590665244","AWSServiceRoleForResourceExplorer","iam.amazonaws.com","GetRolePolicy","44"
"045107234435","terraform-20250412151641556400000001","logs.amazonaws.com","CreateLogStream","43"
"693590665244","AWSReservedSSO_AdministratorAccess_fcf6a3206be2735b","notifications.amazonaws.com","ListManagedNotificationEvents","41"
"045107234435","youtube_video_generator-role","ssm.amazonaws.com","GetParameter","40"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","lambda.amazonaws.com","GetFunction20150331v2","39"
